date,open,high,low,close,volume
2026-07-02 09:30:00,294.12,297.1,293.7,297.04,44022.0
2026-07-02 09:31:00,297.03,299.04,296.94,298.9,387097.0
2026-07-02 09:32:00,299.0,299.82,298.64,299.26,333980.0
2026-07-02 09:33:00,299.23,299.5,297.85,298.08,244659.0
2026-07-02 09:34:00,298.18,298.52,297.9,298.28,143692.0
2026-07-02 09:35:00,298.22,298.86,298.12,298.43,241851.0
2026-07-02 09:36:00,298.37,299.08,298.2,298.97,177706.0
2026-07-02 09:37:00,299.02,299.34,298.87,299.28,166444.0
2026-07-02 09:38:00,299.35,299.71,299.25,299.51,204531.0
2026-07-02 09:39:00,299.61,300.16,299.41,300.13,384326.0
2026-07-02 09:40:00,300.13,300.32,299.78,299.97,184912.0
2026-07-02 09:41:00,299.97,300.92,299.87,300.86,230313.0
2026-07-02 09:42:00,300.96,301.13,300.52,300.79,401939.0
2026-07-02 09:43:00,300.8,301.11,300.37,300.45,195235.0
2026-07-02 09:44:00,300.41,300.71,300.28,300.36,177277.0
2026-07-02 09:45:00,300.47,301.17,300.47,300.96,198028.0
2026-07-02 09:46:00,301.01,301.7,300.84,300.92,214435.0
2026-07-02 09:47:00,300.9,301.75,300.68,301.7,212118.0
2026-07-02 09:48:00,301.68,302.1,301.58,302.05,274465.0
2026-07-02 09:49:00,302.06,302.33,301.96,302.16,266386.0
2026-07-02 09:50:00,302.15,302.67,302.14,302.35,250889.0
2026-07-02 09:51:00,302.31,302.31,301.49,301.58,220691.0
2026-07-02 09:52:00,301.6,302.41,301.58,302.38,132526.0
2026-07-02 09:53:00,302.38,302.43,302.05,302.15,121901.0
2026-07-02 09:54:00,302.19,302.19,301.7,301.8,16816.0
2026-07-02 09:55:00,301.72,301.96,301.49,301.93,140025.0
2026-07-02 09:56:00,301.93,301.94,301.68,301.9,167523.0
2026-07-02 09:57:00,301.92,302.1,301.85,302.1,169033.0
2026-07-02 09:58:00,302.1,302.43,302.03,302.26,198315.0
2026-07-02 09:59:00,302.27,302.79,302.21,302.79,203320.0
2026-07-02 10:00:00,302.8,303.19,302.72,302.73,407126.0
2026-07-02 10:01:00,302.74,303.13,302.7,302.87,194760.0
2026-07-02 10:02:00,302.86,303.03,302.65,302.77,151528.0
2026-07-02 10:03:00,302.76,303.15,302.68,302.96,149761.0
2026-07-02 10:04:00,302.98,303.39,302.87,303.04,145782.0
2026-07-02 10:05:00,303.07,303.28,302.95,302.95,144476.0
2026-07-02 10:06:00,302.96,303.11,302.72,302.84,151871.0
2026-07-02 10:07:00,302.81,302.97,302.73,302.91,126195.0
2026-07-02 10:08:00,302.91,303.51,302.85,303.24,158493.0
2026-07-02 10:09:00,303.28,303.57,303.04,303.54,319520.0
2026-07-02 10:10:00,303.55,303.58,303.13,303.21,171241.0
2026-07-02 10:11:00,303.24,303.77,303.24,303.73,235075.0
2026-07-02 10:12:00,303.76,304.06,303.6,304.06,278142.0
2026-07-02 10:13:00,304.01,304.52,303.96,304.26,370643.0
2026-07-02 10:14:00,304.25,304.25,303.12,303.66,250766.0
2026-07-02 10:15:00,303.79,304.19,303.61,303.9,163011.0
2026-07-02 10:16:00,303.94,304.06,303.67,303.81,156320.0
2026-07-02 10:17:00,303.83,304.27,303.61,304.09,146615.0
2026-07-02 10:18:00,304.08,304.13,303.66,303.67,106390.0
2026-07-02 10:19:00,303.79,304.5,303.74,304.36,193185.0
2026-07-02 10:20:00,304.38,304.8,304.26,304.52,225006.0
2026-07-02 10:21:00,304.58,304.75,304.5,304.75,230435.0
2026-07-02 10:22:00,304.73,304.86,304.57,304.83,204825.0
2026-07-02 10:23:00,304.85,305.1,304.57,304.7,400998.0
2026-07-02 10:24:00,304.72,304.95,304.49,304.62,213038.0
2026-07-02 10:25:00,304.61,304.84,304.14,304.78,162681.0
2026-07-02 10:26:00,304.73,304.84,304.36,304.59,161291.0
2026-07-02 10:27:00,304.53,304.89,304.39,304.56,212205.0
2026-07-02 10:28:00,304.53,304.82,304.35,304.7,171249.0
2026-07-02 10:29:00,304.71,305.32,304.52,305.0,211238.0
2026-07-02 10:30:00,305.05,305.35,304.86,305.22,209182.0
2026-07-02 10:31:00,305.25,305.96,305.25,305.74,288714.0
2026-07-02 10:32:00,305.74,306.64,305.73,306.37,313436.0
2026-07-02 10:33:00,306.34,306.37,305.89,305.91,260122.0
2026-07-02 10:34:00,305.84,305.84,305.31,305.7,228864.0
2026-07-02 10:35:00,305.77,305.86,305.08,305.17,237920.0
2026-07-02 10:36:00,305.14,305.5,305.08,305.49,233842.0
2026-07-02 10:37:00,305.46,305.69,305.19,305.24,246577.0
2026-07-02 10:38:00,305.23,305.55,304.9,305.54,154884.0
2026-07-02 10:39:00,305.51,305.73,305.3,305.37,163306.0
2026-07-02 10:40:00,305.41,305.92,305.4,305.7,139998.0
2026-07-02 10:41:00,305.71,306.07,305.63,305.63,163726.0
2026-07-02 10:42:00,305.67,306.1,305.52,306.1,205352.0
2026-07-02 10:43:00,306.1,306.19,305.75,305.97,161406.0
2026-07-02 10:44:00,306.0,306.42,305.92,306.42,211542.0
2026-07-02 10:45:00,306.43,306.77,306.21,306.23,294175.0
2026-07-02 10:46:00,306.26,306.34,305.75,306.15,208585.0
2026-07-02 10:47:00,306.18,306.52,306.13,306.3,210988.0
2026-07-02 10:48:00,306.26,306.28,305.55,305.58,211654.0
2026-07-02 10:49:00,305.59,305.85,305.53,305.55,148071.0
2026-07-02 10:50:00,305.51,305.96,305.32,305.5,167438.0
2026-07-02 10:51:00,305.51,305.94,305.5,305.94,119529.0
2026-07-02 10:52:00,305.94,306.28,305.94,306.14,176020.0
2026-07-02 10:53:00,306.16,306.49,306.05,306.48,137390.0
2026-07-02 10:54:00,306.48,306.48,306.16,306.3,144751.0
2026-07-02 10:55:00,306.3,306.51,306.3,306.39,130436.0
2026-07-02 10:56:00,306.42,306.68,306.34,306.66,152744.0
2026-07-02 10:57:00,306.62,306.89,306.49,306.75,150480.0
2026-07-02 10:58:00,306.76,307.03,306.74,306.79,324713.0
2026-07-02 10:59:00,306.81,306.9,306.56,306.9,208476.0
2026-07-02 11:00:00,306.9,307.52,306.8,307.47,277220.0
2026-07-02 11:01:00,307.45,307.76,307.15,307.68,196838.0
2026-07-02 11:02:00,307.65,307.82,307.33,307.54,199075.0
2026-07-02 11:03:00,307.55,307.62,307.05,307.07,152923.0
2026-07-02 11:04:00,307.09,307.22,306.6,306.67,193961.0
2026-07-02 11:05:00,306.68,306.89,306.16,306.17,217717.0
2026-07-02 11:06:00,306.14,306.28,305.89,306.14,202733.0
2026-07-02 11:07:00,306.12,306.13,305.4,305.73,273000.0
2026-07-02 11:08:00,305.73,306.44,305.73,306.27,206110.0
2026-07-02 11:09:00,306.29,306.91,306.26,306.91,226462.0
2026-07-02 11:10:00,306.89,306.96,306.42,306.62,248889.0
2026-07-02 11:11:00,306.63,306.8,306.35,306.79,181782.0
2026-07-02 11:12:00,306.76,307.09,306.7,307.05,134583.0
2026-07-02 11:13:00,307.04,307.6,306.87,307.4,204067.0
2026-07-02 11:14:00,307.46,307.79,307.37,307.39,202259.0
2026-07-02 11:15:00,307.44,307.44,306.93,306.93,185092.0
2026-07-02 11:16:00,306.95,307.01,306.27,306.38,98878.0
2026-07-02 11:17:00,306.33,306.9,306.11,306.9,177215.0
2026-07-02 11:18:00,306.86,307.32,306.81,307.19,184951.0
2026-07-02 11:19:00,307.15,307.21,306.8,307.1,118786.0
2026-07-02 11:20:00,307.06,307.15,306.73,306.96,157607.0
2026-07-02 11:21:00,306.99,307.05,306.8,306.96,157326.0
2026-07-02 11:22:00,306.98,307.01,306.84,306.93,104098.0
2026-07-02 11:23:00,306.88,307.1,306.74,307.05,113328.0
2026-07-02 11:24:00,307.11,307.31,307.08,307.26,126431.0
2026-07-02 11:25:00,307.29,307.29,306.62,306.75,151699.0
2026-07-02 11:26:00,306.75,306.78,306.2,306.29,143686.0
2026-07-02 11:27:00,306.3,306.41,305.62,305.64,160680.0
2026-07-02 11:28:00,305.64,305.7,305.4,305.65,154198.0
2026-07-02 11:29:00,305.69,305.74,305.31,305.41,165441.0
2026-07-02 11:30:00,305.44,305.96,305.44,305.84,114442.0
2026-07-02 11:31:00,305.85,306.5,305.83,306.37,148648.0
2026-07-02 11:32:00,306.36,306.69,306.35,306.6,97890.0
2026-07-02 11:33:00,306.63,306.75,306.56,306.58,88709.0
2026-07-02 11:34:00,306.57,306.61,306.06,306.26,121979.0
2026-07-02 11:35:00,306.3,306.42,306.22,306.26,92920.0
2026-07-02 11:36:00,306.25,306.44,306.1,306.35,105923.0
2026-07-02 11:37:00,306.37,306.83,306.37,306.79,137812.0
2026-07-02 11:38:00,306.81,306.88,306.31,306.64,140797.0
2026-07-02 11:39:00,306.64,306.72,306.47,306.53,99018.0
2026-07-02 11:40:00,306.54,306.56,306.15,306.31,85303.0
2026-07-02 11:41:00,306.27,306.55,306.26,306.41,102798.0
2026-07-02 11:42:00,306.39,306.46,306.05,306.2,117275.0
2026-07-02 11:43:00,306.22,306.22,305.86,305.88,80932.0
2026-07-02 11:44:00,305.85,305.95,305.66,305.71,85521.0
2026-07-02 11:45:00,305.71,305.95,305.7,305.86,68149.0
2026-07-02 11:46:00,305.83,305.83,305.46,305.55,80077.0
2026-07-02 11:47:00,305.56,305.76,305.35,305.73,121006.0
2026-07-02 11:48:00,305.74,306.13,305.61,305.85,87171.0
2026-07-02 11:49:00,305.86,305.93,305.61,305.82,73257.0
2026-07-02 11:50:00,305.79,305.79,305.34,305.41,86906.0
2026-07-02 11:51:00,305.42,305.65,305.28,305.54,97811.0
2026-07-02 11:52:00,305.54,305.73,305.44,305.73,75418.0
2026-07-02 11:53:00,305.77,305.99,305.72,305.86,83039.0
2026-07-02 11:54:00,305.86,306.08,305.86,305.95,69254.0
2026-07-02 11:55:00,305.97,306.05,305.64,305.74,77235.0
2026-07-02 11:56:00,305.7,305.82,305.52,305.82,97561.0
2026-07-02 11:57:00,305.79,305.92,305.68,305.69,66547.0
2026-07-02 11:58:00,305.66,305.98,305.63,305.98,111155.0
2026-07-02 11:59:00,305.99,306.0,305.6,305.64,110523.0
2026-07-02 12:00:00,305.64,305.97,305.63,305.94,90615.0
2026-07-02 12:01:00,305.96,306.36,305.91,306.29,160024.0
2026-07-02 12:02:00,306.29,306.31,306.1,306.27,106660.0
2026-07-02 12:03:00,306.26,306.57,306.09,306.57,143493.0
2026-07-02 12:04:00,306.58,306.73,306.44,306.69,79645.0
2026-07-02 12:05:00,306.68,306.86,306.64,306.67,123749.0
2026-07-02 12:06:00,306.67,306.8,306.6,306.74,80544.0
2026-07-02 12:07:00,306.74,306.95,306.66,306.71,137760.0
2026-07-02 12:08:00,306.69,306.75,306.48,306.73,87188.0
2026-07-02 12:09:00,306.74,306.89,306.47,306.64,87383.0
2026-07-02 12:10:00,306.66,306.86,306.56,306.83,83033.0
2026-07-02 12:11:00,306.86,307.03,306.8,306.83,167662.0
2026-07-02 12:12:00,306.81,306.81,306.59,306.76,67216.0
2026-07-02 12:13:00,306.78,307.0,306.68,306.75,117582.0
2026-07-02 12:14:00,306.77,307.08,306.6,307.04,112314.0
2026-07-02 12:15:00,307.07,307.82,306.98,307.6,357616.0
2026-07-02 12:16:00,307.6,307.89,307.59,307.77,303788.0
2026-07-02 12:17:00,307.79,307.88,307.2,307.36,318484.0
2026-07-02 12:18:00,307.36,307.85,307.17,307.79,139149.0
2026-07-02 12:19:00,307.86,307.93,307.65,307.74,177406.0
2026-07-02 12:20:00,307.76,307.78,307.44,307.52,135853.0
2026-07-02 12:21:00,307.52,307.69,307.41,307.41,90369.0
2026-07-02 12:22:00,307.4,307.7,307.36,307.6,105253.0
2026-07-02 12:23:00,307.6,307.74,307.47,307.71,104286.0
2026-07-02 12:24:00,307.7,307.91,307.63,307.8,136942.0
2026-07-02 12:25:00,307.81,308.44,307.81,308.43,253254.0
2026-07-02 12:26:00,308.44,308.44,308.0,308.05,168446.0
2026-07-02 12:27:00,308.06,308.09,307.72,307.95,115816.0
2026-07-02 12:28:00,307.97,308.19,307.77,308.11,105120.0
2026-07-02 12:29:00,308.13,308.17,307.99,308.09,118920.0
2026-07-02 12:30:00,308.1,308.27,308.06,308.22,120956.0
2026-07-02 12:31:00,308.2,308.3,307.76,308.02,117082.0
2026-07-02 12:32:00,307.94,307.96,307.76,307.93,74004.0
2026-07-02 12:33:00,307.92,308.48,307.92,308.39,152175.0
2026-07-02 12:34:00,308.36,308.45,308.19,308.45,96875.0
2026-07-02 12:35:00,308.42,308.42,308.23,308.31,97549.0
2026-07-02 12:36:00,308.26,308.42,308.19,308.35,113403.0
2026-07-02 12:37:00,308.38,308.42,308.2,308.3,126061.0
2026-07-02 12:38:00,308.35,308.4,308.06,308.19,164933.0
2026-07-02 12:39:00,308.21,308.28,307.93,308.12,159675.0
2026-07-02 12:40:00,308.13,308.18,307.76,307.77,136158.0
2026-07-02 12:41:00,307.75,307.9,307.39,307.47,168332.0
2026-07-02 12:42:00,307.47,307.57,307.23,307.43,167896.0
2026-07-02 12:43:00,307.39,307.44,307.05,307.29,80495.0
2026-07-02 12:44:00,307.3,307.55,307.29,307.46,78516.0
2026-07-02 12:45:00,307.4,307.4,307.13,307.26,63701.0
2026-07-02 12:46:00,307.27,307.33,306.95,306.99,102554.0
2026-07-02 12:47:00,307.0,307.67,306.67,307.63,139199.0
2026-07-02 12:48:00,307.65,307.87,307.41,307.55,110817.0
2026-07-02 12:49:00,307.58,307.82,307.58,307.78,114235.0
2026-07-02 12:50:00,307.79,307.87,307.5,307.65,150968.0
2026-07-02 12:51:00,307.62,307.95,307.6,307.72,149730.0
2026-07-02 12:52:00,307.76,308.29,307.76,308.29,119461.0
