date,open,high,low,close,volume
2026-07-05 17:01:00,1.14456,1.14456,1.14456,1.14456,0.0
2026-07-05 17:02:00,1.14456,1.14456,1.14456,1.14456,0.0
2026-07-05 17:03:00,1.14403,1.14403,1.14403,1.14403,0.0
2026-07-05 17:04:00,1.14385,1.14385,1.14385,1.14385,1.0
2026-07-05 17:05:00,1.14377,1.14377,1.1437,1.14374,3.0
2026-07-05 17:06:00,1.1439,1.1439,1.1439,1.1439,0.0
2026-07-05 17:07:00,1.14377,1.14377,1.14377,1.14377,0.0
2026-07-05 17:08:00,1.14403,1.14403,1.14403,1.14403,0.0
2026-07-05 17:09:00,1.14374,1.14374,1.14362,1.14371,8.0
2026-07-05 17:10:00,1.14379,1.14379,1.14378,1.14378,4.0
2026-07-05 17:11:00,1.14376,1.1438,1.14376,1.1438,2.0
2026-07-05 17:12:00,1.1438,1.14381,1.1438,1.1438,6.0
2026-07-05 17:13:00,1.14403,1.14403,1.14403,1.14403,0.0
2026-07-05 17:14:00,1.14376,1.14376,1.14367,1.14367,2.0
2026-07-05 17:15:00,1.14368,1.1437,1.14365,1.14369,25.0
2026-07-05 17:16:00,1.14369,1.14369,1.1436,1.1436,13.0
2026-07-05 17:17:00,1.14361,1.14364,1.14359,1.14362,6.0
2026-07-05 17:18:00,1.14361,1.14361,1.14358,1.14358,4.0
2026-07-05 17:19:00,1.1436,1.14361,1.14359,1.1436,8.0
2026-07-05 17:20:00,1.1436,1.14378,1.1436,1.14378,7.0
2026-07-05 17:21:00,1.14379,1.14379,1.14378,1.14378,5.0
2026-07-05 17:22:00,1.1438,1.1438,1.14377,1.14377,7.0
2026-07-05 17:23:00,1.14378,1.14378,1.14376,1.14376,3.0
2026-07-05 17:24:00,1.14378,1.14379,1.14376,1.14379,5.0
2026-07-05 17:25:00,1.14378,1.14378,1.14376,1.14376,2.0
2026-07-05 17:26:00,1.14375,1.14377,1.14375,1.14376,5.0
2026-07-05 17:27:00,1.14376,1.14376,1.14375,1.14375,4.0
2026-07-05 17:28:00,1.14403,1.14403,1.14403,1.14403,0.0
2026-07-05 17:29:00,1.14376,1.14376,1.14376,1.14376,1.0
2026-07-05 17:30:00,1.14374,1.14376,1.14374,1.14376,5.0
