date,open,high,low,close,volume
2026-07-05 17:03:00,1.33408,1.33408,1.33394,1.33394,1.0
2026-07-05 17:04:00,1.33394,1.33394,1.33393,1.33393,1.0
2026-07-05 17:05:00,1.33393,1.33394,1.33389,1.3339,7.0
2026-07-05 17:06:00,1.3339,1.33391,1.33389,1.33389,2.0
2026-07-05 17:07:00,1.33389,1.33391,1.33388,1.3339,4.0
2026-07-05 17:34:00,1.3339,1.33447,1.3339,1.33433,7.0
2026-07-05 17:35:00,1.33433,1.3346,1.3343,1.33435,36.0
2026-07-05 17:36:00,1.33435,1.33473,1.33435,1.33453,26.0
2026-07-05 17:37:00,1.33453,1.33457,1.33443,1.33457,17.0
2026-07-05 17:38:00,1.33457,1.33462,1.33447,1.33455,14.0
2026-07-05 17:39:00,1.33455,1.33464,1.33445,1.33464,19.0
2026-07-05 17:40:00,1.33464,1.33466,1.33454,1.33466,11.0
2026-07-05 17:41:00,1.33466,1.33466,1.33443,1.33452,20.0
2026-07-05 17:42:00,1.33452,1.33465,1.33451,1.33462,10.0
2026-07-05 17:43:00,1.33462,1.33462,1.33443,1.33459,18.0
2026-07-05 17:44:00,1.33459,1.3346,1.33449,1.33453,9.0
2026-07-05 17:45:00,1.33453,1.33456,1.33448,1.33453,20.0
2026-07-05 17:46:00,1.33453,1.33463,1.33444,1.33444,11.0
2026-07-05 17:47:00,1.33444,1.33447,1.33444,1.33445,16.0
2026-07-05 17:48:00,1.33445,1.33457,1.33441,1.33441,17.0
2026-07-05 17:49:00,1.33441,1.3345,1.33441,1.33446,17.0
2026-07-05 17:50:00,1.33446,1.33461,1.3344,1.3344,22.0
2026-07-05 17:51:00,1.3344,1.33448,1.3344,1.33447,11.0
2026-07-05 17:52:00,1.33447,1.33453,1.33445,1.33449,22.0
2026-07-05 17:53:00,1.33449,1.33462,1.33449,1.33462,13.0
2026-07-05 17:54:00,1.33462,1.33462,1.33448,1.33459,26.0
2026-07-05 17:55:00,1.33459,1.33473,1.33453,1.33454,19.0
2026-07-05 17:56:00,1.33454,1.33467,1.33451,1.33462,15.0
2026-07-05 17:57:00,1.33462,1.33478,1.33462,1.33464,45.0
2026-07-05 17:58:00,1.33464,1.33464,1.33424,1.33449,241.0
2026-07-05 17:59:00,1.33449,1.33461,1.33413,1.33432,354.0
2026-07-05 18:00:00,1.33432,1.33541,1.33432,1.33534,165.0
2026-07-05 18:01:00,1.33534,1.3354,1.33511,1.33536,35.0
2026-07-05 18:02:00,1.33536,1.33537,1.33505,1.33524,40.0
2026-07-05 18:03:00,1.33524,1.3354,1.33513,1.33533,41.0
2026-07-05 18:04:00,1.33533,1.33533,1.33512,1.33518,14.0
2026-07-05 18:05:00,1.33518,1.33532,1.33507,1.33507,52.0
2026-07-05 18:06:00,1.33507,1.33521,1.33507,1.33517,28.0
2026-07-05 18:07:00,1.33517,1.3352,1.33509,1.33519,40.0
2026-07-05 18:08:00,1.33519,1.3352,1.33515,1.33517,36.0
2026-07-05 18:09:00,1.33517,1.33517,1.33514,1.33516,10.0
2026-07-05 18:10:00,1.33516,1.33537,1.33516,1.33537,33.0
2026-07-05 18:11:00,1.33537,1.33538,1.33535,1.33538,14.0
2026-07-05 18:12:00,1.33538,1.3354,1.33531,1.33532,38.0
2026-07-05 18:13:00,1.33532,1.33532,1.3353,1.33531,21.0
2026-07-05 18:14:00,1.33531,1.33532,1.33527,1.33527,15.0
2026-07-05 18:15:00,1.33527,1.33532,1.33526,1.33531,14.0
2026-07-05 18:16:00,1.33531,1.33531,1.33526,1.33531,19.0
2026-07-05 18:17:00,1.33531,1.33531,1.33519,1.33522,31.0
2026-07-05 18:18:00,1.33522,1.33529,1.33522,1.33524,50.0
2026-07-05 18:19:00,1.33524,1.33528,1.33519,1.33524,64.0
2026-07-05 18:20:00,1.33524,1.33527,1.3352,1.33522,46.0
2026-07-05 18:21:00,1.33522,1.33522,1.3352,1.3352,9.0
2026-07-05 18:23:00,1.3352,1.33522,1.33518,1.33521,13.0
2026-07-05 18:24:00,1.33521,1.33522,1.33519,1.33521,13.0
2026-07-05 18:25:00,1.33521,1.33522,1.33519,1.3352,10.0
2026-07-05 18:26:00,1.3352,1.33521,1.33518,1.33518,4.0
2026-07-05 18:27:00,1.33518,1.33519,1.33516,1.33519,7.0
2026-07-05 18:28:00,1.33519,1.33519,1.33516,1.33519,11.0
2026-07-05 18:29:00,1.33519,1.33519,1.33516,1.33519,10.0
2026-07-05 18:30:00,1.33519,1.33519,1.33509,1.33511,22.0
2026-07-05 18:31:00,1.33511,1.33519,1.3351,1.33519,34.0
2026-07-05 18:32:00,1.33519,1.33519,1.33514,1.33514,48.0
2026-07-05 18:33:00,1.33514,1.33519,1.33514,1.33516,36.0
2026-07-05 18:34:00,1.33516,1.33517,1.33514,1.33517,29.0
2026-07-05 18:35:00,1.33517,1.33517,1.33513,1.33514,36.0
2026-07-05 18:36:00,1.33514,1.33516,1.33512,1.33513,43.0
2026-07-05 18:37:00,1.33513,1.33513,1.33512,1.33513,30.0
2026-07-05 18:38:00,1.33513,1.33518,1.33513,1.33514,18.0
2026-07-05 18:39:00,1.33514,1.33518,1.33509,1.33509,52.0
2026-07-05 18:40:00,1.33509,1.3351,1.33498,1.33501,42.0
2026-07-05 18:41:00,1.33501,1.33504,1.335,1.335,28.0
2026-07-05 18:42:00,1.335,1.33503,1.33497,1.33502,21.0
2026-07-05 18:43:00,1.33502,1.33502,1.335,1.33502,33.0
2026-07-05 18:44:00,1.33502,1.33504,1.335,1.33501,19.0
2026-07-05 18:45:00,1.33501,1.33502,1.33498,1.33502,4.0
2026-07-05 18:46:00,1.33502,1.33503,1.33501,1.33503,4.0
2026-07-05 18:47:00,1.33503,1.33503,1.33499,1.33503,5.0
2026-07-05 18:48:00,1.33503,1.33505,1.33503,1.33503,3.0
2026-07-05 18:49:00,1.33503,1.33503,1.33499,1.33502,17.0
2026-07-05 18:50:00,1.33502,1.33502,1.335,1.33501,29.0
2026-07-05 18:51:00,1.33501,1.33502,1.33501,1.33502,11.0
2026-07-05 18:52:00,1.33502,1.33502,1.33497,1.33501,9.0
2026-07-05 18:53:00,1.33501,1.33502,1.33497,1.335,23.0
2026-07-05 18:54:00,1.335,1.335,1.33489,1.33491,10.0
2026-07-05 18:55:00,1.33491,1.33491,1.3348,1.33481,36.0
2026-07-05 18:56:00,1.33481,1.33482,1.33481,1.33481,9.0
2026-07-05 18:57:00,1.33481,1.33482,1.3348,1.33481,4.0
2026-07-05 18:58:00,1.33481,1.33481,1.33479,1.33481,41.0
2026-07-05 18:59:00,1.33481,1.33485,1.3348,1.33482,52.0
2026-07-05 19:00:00,1.33482,1.33488,1.33481,1.33486,87.0
2026-07-05 19:01:00,1.33486,1.33499,1.33485,1.33496,102.0
2026-07-05 19:02:00,1.33496,1.33498,1.33486,1.33489,70.0
2026-07-05 19:03:00,1.33489,1.33489,1.33473,1.3348,76.0
2026-07-05 19:04:00,1.3348,1.33483,1.3347,1.33471,34.0
2026-07-05 19:05:00,1.33471,1.33473,1.33469,1.33472,30.0
2026-07-05 19:06:00,1.33472,1.33472,1.33469,1.33469,18.0
2026-07-05 19:07:00,1.33469,1.33472,1.33469,1.33471,25.0
2026-07-05 19:08:00,1.33471,1.33482,1.33471,1.33482,50.0
2026-07-05 19:09:00,1.33482,1.33482,1.33475,1.33476,51.0
2026-07-05 19:10:00,1.33476,1.33476,1.3347,1.33472,40.0
2026-07-05 19:11:00,1.33472,1.33473,1.33471,1.33473,22.0
2026-07-05 19:12:00,1.33473,1.33473,1.33469,1.3347,36.0
2026-07-05 19:13:00,1.3347,1.33471,1.33463,1.33464,34.0
