time,open,high,low,close,volume
2007-05-07,1.36000,1.36260,1.35910,1.36010,0
2007-05-08,1.36000,1.36210,1.35160,1.35430,0
2007-05-09,1.35430,1.35660,1.35190,1.35270,0
2007-05-10,1.35270,1.35630,1.34650,1.34790,0
2007-05-11,1.34810,1.35310,1.34630,1.35220,0
2007-05-14,1.35260,1.35580,1.35240,1.35450,0
2007-05-15,1.35420,1.36080,1.35270,1.35900,0
2007-05-16,1.35910,1.36100,1.35030,1.35150,0
2007-05-17,1.35170,1.35430,1.34760,1.34940,0
2007-05-18,1.34930,1.35210,1.34650,1.35080,0
2007-05-21,1.35190,1.35300,1.34370,1.34680,0
2007-05-22,1.34670,1.34750,1.34380,1.34470,0
2007-05-23,1.34480,1.35010,1.34160,1.34600,0
2007-05-24,1.34580,1.34620,1.34150,1.34280,0
2007-05-25,1.34280,1.34720,1.34110,1.34420,0
2007-05-28,1.34490,1.34610,1.34450,1.34510,0
2007-05-29,1.34510,1.35190,1.34190,1.34480,0
2007-05-30,1.34480,1.34570,1.34080,1.34290,0
2007-05-31,1.34290,1.34740,1.34220,1.34530,0
2007-06-01,1.34520,1.34620,1.33920,1.34480,0
2007-06-04,1.34450,1.34980,1.34330,1.34890,0
2007-06-05,1.34890,1.35510,1.34880,1.35240,0
2007-06-06,1.35210,1.35370,1.34850,1.35030,0
2007-06-07,1.35050,1.35120,1.34220,1.34330,0
2007-06-08,1.34330,1.34350,1.33210,1.33720,0
2007-06-11,1.33660,1.33660,1.33330,1.33580,0
2007-06-12,1.33580,1.33680,1.33010,1.33020,0
2007-06-13,1.33010,1.33150,1.32640,1.33100,0
2007-06-14,1.33120,1.33230,1.32790,1.33120,0
2007-06-15,1.33120,1.33890,1.33060,1.33880,0
2007-06-18,1.33840,1.34170,1.33770,1.34150,0
2007-06-19,1.34140,1.34350,1.33830,1.34270,0
2007-06-20,1.34270,1.34370,1.33960,1.34030,0
2007-06-21,1.34030,1.34080,1.33720,1.33880,0
2007-06-22,1.33890,1.34700,1.33810,1.34700,0
2007-06-25,1.34680,1.34730,1.34390,1.34620,0
2007-06-26,1.34620,1.34770,1.34320,1.34540,0
2007-06-27,1.34520,1.34580,1.34160,1.34530,0
2007-06-28,1.34520,1.34800,1.34230,1.34500,0
2007-06-29,1.34480,1.35420,1.34310,1.35410,0
2007-07-02,1.35410,1.36380,1.35280,1.36240,0
2007-07-03,1.36240,1.36340,1.35840,1.36080,0
2007-07-04,1.36090,1.36300,1.36050,1.36120,0
2007-07-05,1.36120,1.36580,1.35790,1.35980,0
2007-07-06,1.35970,1.36410,1.35680,1.36270,0
2007-07-09,1.36300,1.36380,1.36100,1.36260,0
2007-07-10,1.36260,1.37470,1.35940,1.37460,0
2007-07-11,1.37470,1.37820,1.37310,1.37440,0
2007-07-12,1.37440,1.37970,1.37400,1.37880,0
2007-07-13,1.37870,1.38110,1.37630,1.37820,0
2007-07-16,1.37810,1.38030,1.37590,1.37710,0
2007-07-17,1.37710,1.37970,1.37580,1.37810,0
2007-07-18,1.37810,1.38320,1.37530,1.38020,0
2007-07-19,1.38030,1.38290,1.37860,1.38030,0
2007-07-20,1.38020,1.38420,1.37800,1.38270,0
2007-07-23,1.38300,1.38440,1.37950,1.38070,0
2007-07-24,1.38090,1.38510,1.37980,1.38230,0
2007-07-25,1.38230,1.38320,1.36960,1.37210,0
2007-07-26,1.37200,1.37710,1.36920,1.37460,0
2007-07-27,1.37440,1.37530,1.36270,1.36330,0
2007-07-30,1.36230,1.37050,1.36100,1.36960,0
2007-07-31,1.36950,1.37260,1.36790,1.36830,0
2007-08-01,1.36820,1.37090,1.36370,1.36660,0
2007-08-02,1.36650,1.37050,1.36500,1.37020,0
2007-08-03,1.37030,1.38190,1.36840,1.37730,0
2007-08-06,1.37960,1.38380,1.37800,1.37930,0
2007-08-07,1.37920,1.38150,1.37350,1.37360,0
2007-08-08,1.37380,1.38260,1.37210,1.37970,0
2007-08-09,1.37970,1.38160,1.36550,1.36770,0
2007-08-10,1.36780,1.37040,1.36430,1.36920,0
2007-08-13,1.36890,1.37090,1.36040,1.36120,0
2007-08-14,1.36090,1.36250,1.35310,1.35330,0
2007-08-15,1.35330,1.35390,1.34390,1.34410,0
2007-08-16,1.34400,1.34460,1.33700,1.34270,0
2007-08-17,1.34270,1.35450,1.33710,1.34750,0
2007-08-20,1.34750,1.35060,1.34600,1.34730,0
2007-08-21,1.34760,1.35180,1.34570,1.34650,0
2007-08-22,1.34660,1.35490,1.34500,1.35430,0
2007-08-23,1.35490,1.35880,1.35350,1.35640,0
2007-08-24,1.35660,1.36790,1.35530,1.36740,0
2007-08-27,1.36720,1.36790,1.36350,1.36410,0
2007-08-28,1.36400,1.36790,1.35990,1.36000,0
2007-08-29,1.36000,1.36800,1.35630,1.36740,0
2007-08-30,1.36730,1.36760,1.35930,1.36310,0
2007-08-31,1.36310,1.37190,1.36200,1.36280,0
2007-09-03,1.36290,1.36540,1.36030,1.36220,0
2007-09-04,1.36230,1.36250,1.35510,1.36040,0
2007-09-05,1.36040,1.36710,1.35690,1.36500,0
2007-09-06,1.36500,1.37100,1.36350,1.36900,0
2007-09-07,1.36900,1.37960,1.36630,1.37670,0
2007-09-10,1.37740,1.38140,1.37660,1.38060,0
2007-09-11,1.38070,1.38460,1.37780,1.38360,0
2007-09-12,1.38380,1.39140,1.38240,1.39050,0
2007-09-13,1.39050,1.39270,1.38630,1.38640,0
2007-09-14,1.38650,1.38950,1.38440,1.38740,0
2007-09-17,1.38720,1.38870,1.38490,1.38590,0
2007-09-18,1.38590,1.39880,1.38290,1.39820,0
2007-09-19,1.39810,1.39870,1.39350,1.39670,0
2007-09-20,1.39660,1.40980,1.39620,1.40660,0
2007-09-21,1.40670,1.41180,1.40430,1.40900,0
2007-09-24,1.40910,1.41290,1.40670,1.40780,0
2007-09-25,1.40770,1.41520,1.40610,1.41480,0
2007-09-26,1.41450,1.41620,1.41110,1.41310,0
2007-09-27,1.41310,1.41880,1.41240,1.41460,0
2007-09-28,1.41460,1.42780,1.41440,1.42660,0
2007-10-01,1.42680,1.42750,1.42110,1.42330,0
2007-10-02,1.42320,1.42370,1.41390,1.41480,0
2007-10-03,1.41480,1.42000,1.40810,1.40910,0
2007-10-04,1.40910,1.41480,1.40680,1.41350,0
2007-10-05,1.41330,1.41560,1.40320,1.41350,0
2007-10-08,1.41380,1.41500,1.40360,1.40560,0
2007-10-09,1.40540,1.41130,1.40140,1.41040,0
2007-10-10,1.41040,1.41710,1.40940,1.41410,0
2007-10-11,1.41410,1.42410,1.41360,1.42010,0
2007-10-12,1.42000,1.42130,1.41540,1.41790,0
2007-10-15,1.41770,1.42420,1.41600,1.42120,0
2007-10-16,1.42110,1.42260,1.41430,1.41730,0
2007-10-17,1.41720,1.42290,1.41580,1.42160,0
2007-10-18,1.42160,1.43080,1.41950,1.42850,0
2007-10-19,1.42850,1.43180,1.42450,1.43040,0
2007-10-22,1.43040,1.43480,1.41250,1.41750,0
2007-10-23,1.41750,1.42780,1.41700,1.42600,0
2007-10-24,1.42620,1.42680,1.41890,1.42650,0
2007-10-25,1.42610,1.43410,1.42480,1.43310,0
2007-10-26,1.43300,1.43950,1.43170,1.43930,0
2007-10-29,1.44000,1.44370,1.43760,1.44220,0
2007-10-30,1.44210,1.44410,1.43740,1.44400,0
2007-10-31,1.44410,1.45030,1.44190,1.44780,0
2007-11-01,1.44770,1.44820,1.44030,1.44210,0
2007-11-02,1.44190,1.45270,1.44190,1.45010,0
2007-11-05,1.45080,1.45240,1.44440,1.44680,0
2007-11-06,1.44690,1.45700,1.44660,1.45570,0
2007-11-07,1.45560,1.47290,1.45540,1.46350,0
2007-11-08,1.46360,1.47020,1.46150,1.46760,0
2007-11-09,1.46760,1.47510,1.46310,1.46770,0
2007-11-12,1.46750,1.46750,1.45250,1.45310,0
2007-11-13,1.45310,1.46320,1.45200,1.46030,0
2007-11-14,1.46030,1.47250,1.45990,1.46490,0
2007-11-15,1.46470,1.47030,1.46050,1.46120,0
2007-11-16,1.46120,1.46710,1.45810,1.46620,0
2007-11-19,1.46700,1.46870,1.46170,1.46650,0
2007-11-20,1.46630,1.48510,1.46340,1.48360,0
2007-11-21,1.48400,1.48700,1.47750,1.48580,0
2007-11-22,1.48560,1.48720,1.48190,1.48500,0
2007-11-23,1.48470,1.49660,1.47850,1.48350,0
2007-11-26,1.48200,1.48910,1.48030,1.48700,0
2007-11-27,1.48700,1.49070,1.48080,1.48310,0
2007-11-28,1.48270,1.48580,1.47080,1.48390,0
2007-11-29,1.48400,1.48430,1.47190,1.47430,0
2007-11-30,1.47430,1.47830,1.46270,1.46320,0
2007-12-03,1.46390,1.47070,1.46210,1.46660,0
2007-12-04,1.46670,1.47680,1.46350,1.47620,0
2007-12-05,1.47590,1.47700,1.45910,1.46090,0
2007-12-06,1.46090,1.46520,1.45260,1.46350,0
2007-12-07,1.46360,1.46700,1.45990,1.46560,0
2007-12-10,1.46540,1.47350,1.46390,1.47110,0
2007-12-11,1.47110,1.47490,1.46390,1.46540,0
2007-12-12,1.46540,1.47470,1.46490,1.47070,0
2007-12-13,1.47040,1.47360,1.45810,1.46320,0
2007-12-14,1.46320,1.46570,1.44110,1.44290,0
2007-12-17,1.43900,1.44530,1.43300,1.43980,0
2007-12-18,1.43980,1.44350,1.43650,1.44160,0
2007-12-19,1.44120,1.44230,1.43250,1.43800,0
2007-12-20,1.43840,1.43870,1.43090,1.43300,0
2007-12-21,1.43290,1.44100,1.43140,1.43760,0
2007-12-24,1.43760,1.44130,1.43580,1.43930,0
2007-12-25,1.43940,1.44130,1.43870,1.44010,0
2007-12-26,1.43920,1.45060,1.43890,1.44880,0
2007-12-27,1.44870,1.46390,1.44680,1.46240,0
2007-12-28,1.46260,1.47250,1.45900,1.47120,0
2007-12-31,1.47140,1.47470,1.45680,1.45840,0
2008-01-01,1.45870,1.46170,1.45750,1.45900,0
2008-01-02,1.45920,1.47490,1.45830,1.47220,0
2008-01-03,1.47150,1.47790,1.46860,1.47480,0
2008-01-04,1.47500,1.48230,1.46930,1.47720,0
2008-01-07,1.47460,1.47560,1.46570,1.46950,0
2008-01-08,1.46950,1.47400,1.46780,1.47060,0
2008-01-09,1.47070,1.47420,1.46390,1.46570,0
2008-01-10,1.46810,1.48110,1.46380,1.48040,0
2008-01-11,1.48030,1.48180,1.47630,1.47760,0
2008-01-14,1.47810,1.49140,1.47790,1.48650,0
2008-01-15,1.48690,1.49180,1.47990,1.48040,0
2008-01-16,1.48020,1.48570,1.45990,1.46500,0
2008-01-17,1.46520,1.47100,1.45900,1.46400,0
2008-01-18,1.46410,1.46930,1.46000,1.46190,0
2008-01-21,1.46020,1.46040,1.44240,1.44520,0
2008-01-22,1.44530,1.46410,1.43660,1.46270,0
2008-01-23,1.46280,1.46840,1.45090,1.46290,0
2008-01-24,1.46280,1.47780,1.45900,1.47560,0
2008-01-25,1.47530,1.47760,1.46580,1.46760,0
2008-01-28,1.46710,1.47970,1.46620,1.47820,0
2008-01-29,1.47790,1.47960,1.47350,1.47750,0
2008-01-30,1.47740,1.49050,1.47540,1.48600,0
2008-01-31,1.48610,1.49140,1.48010,1.48580,0
2008-02-01,1.48600,1.49400,1.47860,1.48040,0
2008-02-04,1.47990,1.48470,1.47920,1.48270,0
2008-02-05,1.48300,1.48340,1.46200,1.46440,0
2008-02-06,1.46470,1.46700,1.45910,1.46300,0
2008-02-07,1.46320,1.46500,1.44400,1.44790,0
2008-02-08,1.44850,1.45450,1.44480,1.45070,0
2008-02-11,1.45160,1.45770,1.44800,1.45180,0
2008-02-12,1.45170,1.46130,1.44950,1.45780,0
2008-02-13,1.45810,1.45960,1.45320,1.45690,0
2008-02-14,1.45590,1.46450,1.45590,1.46360,0
2008-02-15,1.46410,1.47080,1.46300,1.46780,0
2008-02-18,1.46800,1.46900,1.46100,1.46540,0
2008-02-19,1.46570,1.47570,1.46400,1.47270,0
2008-02-20,1.47240,1.47300,1.46160,1.47100,0
2008-02-21,1.47130,1.48350,1.47020,1.48090,0
2008-02-22,1.48130,1.48590,1.47870,1.48230,0
2008-02-25,1.48370,1.48430,1.47930,1.48290,0
2008-02-26,1.48280,1.49840,1.47790,1.49720,0
2008-02-27,1.49720,1.51430,1.49700,1.51220,0
2008-02-28,1.51180,1.52280,1.50740,1.51960,0
2008-02-29,1.51920,1.52380,1.51440,1.51890,0
2008-03-03,1.51940,1.52710,1.51600,1.52040,0
2008-03-04,1.52020,1.52480,1.51720,1.52150,0
2008-03-05,1.52160,1.52970,1.51460,1.52620,0
2008-03-06,1.52630,1.53940,1.52600,1.53870,0
2008-03-07,1.53790,1.54510,1.53160,1.53470,0
2008-03-10,1.53590,1.54030,1.53120,1.53510,0
2008-03-11,1.53480,1.54950,1.52810,1.53370,0
2008-03-12,1.53380,1.55720,1.53330,1.55600,0
2008-03-13,1.55630,1.56450,1.55210,1.56240,0
2008-03-14,1.56260,1.56870,1.55310,1.56730,0
2008-03-17,1.57220,1.59030,1.56840,1.57310,0
2008-03-18,1.57300,1.58310,1.56180,1.56200,0
2008-03-19,1.56200,1.57820,1.55820,1.56450,0
2008-03-20,1.56310,1.56490,1.53960,1.54300,0
2008-03-21,1.54250,1.54720,1.54050,1.54320,0
2008-03-24,1.54380,1.54530,1.53410,1.54310,0
2008-03-25,1.54220,1.56560,1.54070,1.56490,0
2008-03-26,1.56470,1.58570,1.55840,1.58450,0
2008-03-27,1.58420,1.58450,1.57260,1.57770,0
2008-03-28,1.57760,1.58370,1.57410,1.57950,0
2008-03-31,1.58000,1.58940,1.57600,1.57620,0
2008-04-01,1.57610,1.57850,1.55640,1.56190,0
2008-04-02,1.56110,1.57010,1.55330,1.56900,0
2008-04-03,1.56850,1.56870,1.55110,1.56820,0
2008-04-04,1.56810,1.57720,1.56380,1.57370,0
2008-04-07,1.57330,1.57350,1.56270,1.57040,0
2008-04-08,1.57030,1.57980,1.56740,1.57030,0
2008-04-09,1.57040,1.58630,1.56830,1.58350,0
2008-04-10,1.58330,1.59080,1.57250,1.57430,0
2008-04-11,1.57420,1.58420,1.57380,1.58060,0
2008-04-14,1.57550,1.58850,1.56710,1.58360,0
2008-04-15,1.58350,1.58730,1.57510,1.57890,0
2008-04-16,1.57870,1.59770,1.57580,1.59420,0
2008-04-17,1.59410,1.59800,1.58470,1.58930,0
2008-04-18,1.58910,1.59550,1.57110,1.58160,0
2008-04-21,1.58120,1.59460,1.57910,1.59070,0
2008-04-22,1.59080,1.60170,1.58340,1.59960,0
2008-04-23,1.59960,1.59970,1.58600,1.58840,0
2008-04-24,1.58830,1.58900,1.56370,1.56780,0
2008-04-25,1.56780,1.57060,1.55550,1.56290,0
2008-04-28,1.56210,1.56900,1.55930,1.56530,0
2008-04-29,1.56530,1.56590,1.55400,1.55650,0
2008-04-30,1.55650,1.56410,1.55170,1.56180,0
2008-05-01,1.56190,1.56430,1.54300,1.54680,0
2008-05-02,1.54680,1.54980,1.53620,1.54240,0
2008-05-05,1.54270,1.55180,1.54230,1.54970,0
2008-05-06,1.54970,1.55930,1.54530,1.55310,0
2008-05-07,1.55320,1.55380,1.53660,1.53950,0
2008-05-08,1.53950,1.54390,1.52890,1.54030,0
2008-05-09,1.54030,1.54860,1.53930,1.54800,0
2008-05-12,1.54680,1.55700,1.53660,1.55410,0
2008-05-13,1.55400,1.55640,1.54310,1.54690,0
2008-05-14,1.54690,1.54840,1.53960,1.54800,0
2008-05-15,1.54760,1.55470,1.54190,1.54440,0
2008-05-16,1.54410,1.55990,1.54370,1.55760,0
2008-05-19,1.55840,1.56320,1.54860,1.55090,0
2008-05-20,1.55340,1.56790,1.55050,1.56520,0
2008-05-21,1.56510,1.56840,1.56440,1.56660,0
2008-05-22,1.58060,1.58070,1.56920,1.57230,0
2008-05-23,1.57230,1.57930,1.56990,1.57630,0
2008-05-26,1.57680,1.57910,1.57410,1.57720,0
2008-05-27,1.57710,1.58170,1.56710,1.56760,0
2008-05-28,1.56770,1.57590,1.56070,1.56470,0
2008-05-29,1.56470,1.56630,1.54850,1.55110,0
2008-05-30,1.55110,1.55680,1.54620,1.55540,0
2008-06-02,1.55610,1.55890,1.54860,1.55390,0
2008-06-03,1.55350,1.56270,1.54090,1.54330,0
2008-06-04,1.54410,1.54810,1.54180,1.54250,0
2008-06-05,1.54240,1.55990,1.53650,1.55820,0
2008-06-06,1.55820,1.57770,1.55720,1.57770,0
2008-06-09,1.57840,1.58420,1.56170,1.56410,0
2008-06-10,1.56400,1.56530,1.54390,1.54540,0
2008-06-11,1.54560,1.55850,1.54530,1.55560,0
2008-06-12,1.55560,1.55650,1.53800,1.54490,0
2008-06-13,1.54490,1.54800,1.53040,1.53800,0
2008-06-16,1.53920,1.55170,1.53460,1.54670,0
2008-06-17,1.54680,1.55500,1.54600,1.55050,0
2008-06-18,1.55050,1.55370,1.54620,1.55240,0
2008-06-19,1.55700,1.55850,1.54660,1.55010,0
2008-06-20,1.55010,1.56510,1.54910,1.56070,0
2008-06-23,1.56240,1.56260,1.54680,1.55130,0
2008-06-24,1.55220,1.56200,1.54920,1.55690,0
2008-06-25,1.55700,1.56850,1.55370,1.56640,0
2008-06-26,1.56650,1.57650,1.56300,1.57500,0
2008-06-27,1.57510,1.57930,1.57200,1.57930,0
2008-06-30,1.57850,1.58350,1.57310,1.57540,0
2008-07-01,1.57540,1.58240,1.57240,1.57940,0
2008-07-02,1.57930,1.58900,1.57760,1.58900,0
2008-07-03,1.58910,1.58960,1.56810,1.56960,0
2008-07-04,1.56960,1.57250,1.56560,1.57040,0
2008-07-07,1.56970,1.57520,1.56110,1.57230,0
2008-07-08,1.57230,1.57380,1.56350,1.56670,0
2008-07-09,1.56660,1.57500,1.56490,1.57370,0
2008-07-10,1.57380,1.58000,1.56910,1.57840,0
2008-07-11,1.57840,1.59450,1.57640,1.59370,0
2008-07-14,1.58940,1.59340,1.58400,1.59040,0
2008-07-15,1.59020,1.60350,1.58660,1.59110,0
2008-07-16,1.59120,1.59470,1.58000,1.58190,0
2008-07-17,1.58190,1.58930,1.57830,1.58580,0
2008-07-18,1.58560,1.58850,1.58040,1.58460,0
2008-07-21,1.58410,1.59310,1.58280,1.59240,0
2008-07-22,1.59240,1.59420,1.57570,1.57900,0
2008-07-23,1.57860,1.57970,1.56700,1.56840,0
2008-07-24,1.56840,1.57130,1.56270,1.56760,0
